Run #,Type,Net Profit/Loss,Total Profit,Total Loss,Cumulated Profit %,Max Drawdown,Max Drawdown %,Max Drawdown Time,Return/Drawdown Ratio,Drawdown Days %,Max Drawdown Duration,CAGR,Sharpe Ratio,Sortino Ratio,UPI,Annualized Volatility,Information Ratio,Optimal f,Historical VaR 95% 1D,Historical CVaR 95% 1D,Theoretical VaR 95% 1D,Theoretical CVaR 95% 1D,All Trades #,Profitable Trades Ratio,Winning Trades #,Losing Trades #,Average Trade,Avg Profit Per Trade (bps),Average Winning Trade,Average Losing Trade,Average Profit per Share,Avg. Win/ Avg. Loss Ratio,Max Conseq. Winners,Max Conseq. Losers,Commission,Average Trade Holding Time,Currency,StrategyName,InitialCap,BetSize,InterestOnCash,StopLossPct,TakeProfitPct,exchange,instrumentsProportion,ReInvestMode,generateReports,FundCurrency,commission,maxOrderSize
1,All Trades,58.1348122629838,1086.51194351279,-1028.37713124981,0.581348122629838,-24.9103990595855,-0.189359767140755,5/7/2022 4:00:00 AM,2.33375676254426,0.88527397260274,197,0.225491029039125,1.14036910494855,1.77091924569038,0.284521363665625,22.6010298818104,1.14036910494855,4.41441144951086,-1.93022998141589,-2.82476800763854,-2.20639065773634,-5.92747545456461,33914,0.490033614436516,16619,17295,0.00171418329489249,6.27844221114612,0.0653776968236833,-0.0594609500578092,4.2292290408751E-09,1.09950642833863,26,28,37.0283224821761,22:12:50.6551866,BTC,Size_Tradable,100,0,0,100,10000,BINANCE,100,True,True,BTC,0.04,0.2
1,Long Trades,14.3591643141565,542.099497985742,-527.740333671585,0.143591643141565,-22.5836373750241,-0.172880347091088,5/6/2022 4:00:00 AM,0.635821594002245,0.888698630136986,92,0.243366730513794,0.968402814136341,1.51794690439917,0.360896166754758,29.0143353672761,0.96840281413634,2.8909192063115,-2.70800564801177,-3.65550150722538,-2.8516700439306,-7.62865599500618,16360,0.518276283618582,8479,7881,0.000877699530205164,3.05739935715824,0.0639343670227317,-0.0669636256403483,2.00336369746486E-09,0.954762625400746,45,32,25.3232991718883,23:01:02.7139364,BTC,Size_Tradable,100,0,0,100,10000,BINANCE,100,True,True,BTC,0.04,0.2
1,Short Trades,43.7756479488215,544.412445527046,-500.636797578225,0.437756479488215,-31.4865728024099,-0.24111301781153,11/2/2022 4:00:00 AM,1.39029573728237,0.936643835616438,326,0.11975823503573,0.438470235043258,0.656879341616277,0.0757644192436935,29.3703705827892,0.438470235043258,1.38831026332573,-2.66742965536758,-3.95140136993804,-2.9465256718745,-7.78213006797269,17554,0.463711974478751,8140,9414,0.00249377053371434,9.59381367115746,0.0668811358141334,-0.0531800294856835,6.65441945322068E-09,1.25763630560112,34,117,11.7050233102877,21:27:55.3104705,BTC,Size_Tradable,100,0,0,100,10000,BINANCE,100,True,True,BTC,0.04,0.2
